Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8036564k(1701328k free), swap 13829772k(2261584k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2.259: [GC (Allocation Failure) 2.259: [DefNew: 960K->64K(960K), 0.0013019 secs] 12408K->11639K(524224K), 0.0013982 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.271: [GC (Allocation Failure) 2.271: [DefNew: 960K->63K(960K), 0.0014551 secs] 12555K->11771K(524224K), 0.0016142 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2.286: [GC (Allocation Failure) 2.286: [DefNew: 959K->64K(960K), 0.0022572 secs] 12815K->12067K(524224K), 0.0024076 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.301: [GC (Allocation Failure) 2.301: [DefNew: 960K->63K(960K), 0.0013951 secs] 12992K->12191K(524224K), 0.0015107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.313: [GC (Allocation Failure) 2.313: [DefNew: 959K->63K(960K), 0.0016813 secs] 13125K->12342K(524224K), 0.0018265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.324: [GC (Allocation Failure) 2.324: [DefNew: 959K->63K(960K), 0.0014882 secs] 13260K->12483K(524224K), 0.0016529 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.334: [GC (Allocation Failure) 2.334: [DefNew: 959K->63K(960K), 0.0016307 secs] 13384K->12580K(524224K), 0.0017614 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2.345: [GC (Allocation Failure) 2.345: [DefNew: 959K->63K(960K), 0.0012076 secs] 13479K->12663K(524224K), 0.0013106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.357: [GC (Allocation Failure) 2.357: [DefNew: 959K->63K(960K), 0.0014353 secs] 13564K->12782K(524224K), 0.0015249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.366: [GC (Allocation Failure) 2.366: [DefNew: 959K->63K(960K), 0.0016454 secs] 13685K->12856K(524224K), 0.0017650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.379: [GC (Allocation Failure) 2.379: [DefNew: 959K->63K(960K), 0.0015368 secs] 13758K->12961K(524224K), 0.0017543 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.389: [GC (Allocation Failure) 2.389: [DefNew: 959K->63K(960K), 0.0014815 secs] 13888K->13062K(524224K), 0.0016126 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.402: [GC (Allocation Failure) 2.402: [DefNew: 959K->63K(960K), 0.0014823 secs] 13984K->13266K(524224K), 0.0016205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.420: [GC (Allocation Failure) 2.420: [DefNew: 959K->63K(960K), 0.0027526 secs] 14183K->13367K(524224K), 0.0029153 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.438: [GC (Allocation Failure) 2.438: [DefNew: 959K->61K(960K), 0.0014555 secs] 14272K->13426K(524224K), 0.0015648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.456: [GC (Allocation Failure) 2.456: [DefNew: 957K->63K(960K), 0.0017843 secs] 14335K->13513K(524224K), 0.0019110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.473: [GC (Allocation Failure) 2.474: [DefNew: 959K->63K(960K), 0.0017768 secs] 14521K->13689K(524224K), 0.0019008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.485: [GC (Allocation Failure) 2.485: [DefNew: 959K->54K(960K), 0.0017464 secs] 14600K->13779K(524224K), 0.0018518 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.494: [GC (Allocation Failure) 2.494: [DefNew: 950K->63K(960K), 0.0016039 secs] 14682K->13870K(524224K), 0.0017061 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.512: [GC (Allocation Failure) 2.512: [DefNew: 959K->63K(960K), 0.0013777 secs] 14772K->13943K(524224K), 0.0014934 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.531: [GC (Allocation Failure) 2.531: [DefNew: 959K->64K(960K), 0.0016742 secs] 14855K->14047K(524224K), 0.0018021 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.544: [GC (Allocation Failure) 2.544: [DefNew: 960K->63K(960K), 0.0020476 secs] 14953K->14118K(524224K), 0.0021929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.560: [GC (Allocation Failure) 2.560: [DefNew: 959K->64K(960K), 0.0011851 secs] 15017K->14179K(524224K), 0.0012774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.579: [GC (Allocation Failure) 2.579: [DefNew: 960K->64K(960K), 0.0017105 secs] 15078K->14283K(524224K), 0.0018273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.600: [GC (Allocation Failure) 2.600: [DefNew: 960K->64K(960K), 0.0015976 secs] 15193K->14415K(524224K), 0.0017334 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2.642: [GC (Allocation Failure) 2.642: [DefNew: 960K->63K(960K), 0.0016047 secs] 15313K->14558K(524224K), 0.0017519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
